CaseID,duration,Children6to17,childage,parental,childgender,sleepneeds,oftbathpar,oftmusicpar,oftalcoholpar,oftreadpar,oftyogapar,oftTVpar,oftonlinepar,oftOTCpar,oftotherpar,bed_school,wake_school,bed_nonschool,wake_nonschool,bedhours_school,bedhours_nonschool,sleephours_school,sleephours_nonschool,wakeupatnight,sleepinschool
870,13,2,10,1,1,8,4,4,4,4,4,4,4,4,4,8,7,11,10,11,11,9,11,1,1
889,11,2,17,5,2,10,2,3,4,3,4,2,2,4,4,10,8,11,11,10,12,9,11,2,1
981,11,3,16,1,1,9,2,2,3,1,4,2,3,4,2,9,6,9,8,9,11,9,11,2,1
1018,15,1,16,1,2,9,3,3,4,4,4,2,3,4,4,10,7,12,11,9,11,9,11,1,1
1125,12,1,14,1,1,10,3,2,3,2,4,2,1,4,2,10,7,13,12,9,11,9,11,1,1
1252,9,5,13,2,1,9,1,2,3,2,3,2,2,4,3,10,7,11,10,9,11,9,11,2,1
1255,10,2,8,1,1,9,2,3,4,2,2,1,2,4,1,9,8,10,9,11,11,9,11,2,1
1264,29,2,13,1,2,7,2,3,4,4,4,1,3,4,4,10,6,10,10,8,12,9,11,1,2
1297,1224,2,10,1,1,1,3,3,3,2,3,1,1,4,4,10,8,12,10,10,10,9,11,1,1
1482,8,1,14,1,2,8,4,4,4,2,4,4,4,4,4,9,6,10,10,9,12,9,11,2,1
1485,28,2,13,5,2,8,1,2,4,3,4,3,4,4,4,9,6,11,8,9,9,9,11,3,1
1527,18,2,14,2,1,9,1,4,4,4,4,1,4,4,3,9,6,10,11,9,13,9,11,3,3
8,6,2,10,1,1,10,3,2,3,3,4,2,4,2,4,9,7,10,9,10,11,10,11,1,1
209,5,1,6,1,2,11,4,4,4,4,4,4,4,4,2,8,7,8,7,11,11,10,11,1,1
248,1347,1,14,1,2,8,4,4,4,4,4,1,4,3,2,8,7,9,8,11,11,10,11,1,1
367,7,1,8,1,1,10,3,4,3,4,4,2,2,3,4,9,7,9,8,10,11,10,11,1,1
475,7,2,7,1,2,9,2,4,4,3,4,1,2,3,4,9,7,9,8,10,11,10,11,2,1
529,8,2,11,1,2,10,2,2,4,2,4,3,3,4,4,9,7,9,8,10,11,10,11,3,1
592,17,2,11,5,2,12,2,3,2,1,4,1,2,2,4,8,6,12,9,10,9,10,11,1,1
648,63,1,13,1,1,10,1,4,4,3,4,1,4,4,1,10,8,11,10,10,11,10,11,1,1
792,20,1,6,1,2,10,2,2,4,1,2,2,3,4,2,8,7,8,8,11,12,10,11,2,1
939,17,1,8,5,2,8,2,4,4,4,4,2,2,3,4,9,7,10,9,10,11,10,11,1,1
948,8,1,6,1,2,10,4,4,4,4,4,2,2,4,4,8,6,8,7,10,11,10,11,2,1
968,6,3,10,1,2,10,4,4,4,3,4,4,4,2,4,9,7,9,8,10,11,10,11,1,1
1026,17,2,7,1,1,11,1,4,4,3,4,4,4,4,4,9,7,10,9,10,11,10,11,1,1
1161,12,3,7,1,1,9,2,3,4,2,4,2,2,4,4,7,6,8,7,11,11,10,11,1,1
1220,11,1,7,1,1,12,1,4,4,4,2,4,4,4,4,8,6,10,9,10,11,10,11,1,1
1263,8,1,7,1,1,11,4,4,4,4,4,1,4,3,4,8,7,9,9,11,12,10,11,1,1
1289,13,1,10,1,2,9,2,3,4,1,4,1,1,4,2,8,7,9,8,11,11,10,11,2,1
1343,23,3,12,1,2,10,4,4,4,3,4,3,2,3,4,10,7,12,11,9,11,10,11,1,1
1416,26,2,14,2,1,9,1,3,3,2,4,3,4,4,4,9,7,11,8,10,9,10,11,-1,2
1513,23,3,7,1,1,10,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,10,11,2,1
326,13,1,9,1,2,11,2,3,4,1,4,2,1,4,2,9,8,9,8,11,11,11,11,3,1
408,7,1,6,1,1,11,2,4,4,3,4,2,2,4,4,8,7,9,9,11,12,11,11,1,1
