CaseID,TVchildBR,compchildBR,tabletchildBR,cellchildBR,gamechildBR,mp3childBR,count
921,1,1,2,1,1,1,7
1012,2,2,2,2,2,2,12
1046,2,1,1,2,2,1,9
1047,1,2,2,1,1,1,8
1053,1,1,1,1,1,1,6
1062,2,2,2,2,2,2,12
1066,2,2,2,2,2,2,12
1106,2,2,1,1,1,2,9
1121,2,2,1,2,2,1,10
1211,2,2,2,2,2,2,12
1272,1,2,2,1,2,2,10
1311,1,2,1,1,2,1,8
1495,2,2,2,2,2,2,12
12,2,1,2,2,2,2,11
31,1,2,2,2,2,2,11
36,1,2,1,2,2,2,10
41,2,2,2,2,2,2,12
42,1,2,2,2,2,2,11
53,2,2,1,2,2,2,11
57,2,2,2,2,2,2,12
63,1,1,1,2,2,2,9
98,1,2,2,2,2,2,11
124,2,2,2,2,1,1,10
135,2,2,2,2,2,1,11
169,1,2,2,2,2,1,10
170,1,2,1,2,2,2,10
176,1,2,2,2,1,2,10
192,1,2,1,2,2,2,10
198,2,2,2,2,2,2,12
201,2,2,2,2,2,2,12
207,2,1,2,1,2,1,9
211,1,1,1,2,2,2,9
215,2,1,2,2,2,1,10
221,1,2,2,2,1,1,9
236,2,2,1,1,2,2,10
246,2,2,1,2,2,2,11
258,1,1,1,2,1,1,7
260,1,2,2,2,1,1,9
325,2,2,2,2,2,2,12
364,1,1,1,1,1,1,6
417,2,2,2,2,2,2,12
418,2,2,2,2,2,2,12
423,1,2,2,2,2,2,11
438,2,2,2,2,2,1,11
449,2,2,2,2,2,2,12
463,1,1,1,2,2,2,9
485,1,2,2,2,2,2,11
487,1,2,1,1,2,2,9
489,2,2,2,2,2,2,12
491,2,2,2,2,2,1,11
501,1,1,2,1,2,2,9
530,1,1,1,1,1,1,6
562,1,1,1,2,1,1,7
590,1,2,1,2,2,2,10
591,2,1,1,1,2,1,8
620,1,2,2,2,1,2,10
621,1,2,2,2,2,2,11
624,1,2,2,2,2,2,11
662,1,2,2,2,1,2,10
663,1,2,2,2,2,2,11
664,1,2,2,2,2,2,11
675,1,1,2,1,2,2,9
698,2,1,2,1,1,1,8
731,2,1,2,2,2,1,10
755,2,2,2,2,2,2,12
764,2,1,1,1,2,1,8
802,1,2,2,2,2,2,11
821,2,2,1,2,2,2,11
841,1,1,2,2,1,2,9
842,2,2,2,2,2,1,11
845,1,1,2,1,2,2,9
849,2,1,1,2,2,2,10
858,1,2,2,2,1,2,10
872,1,1,1,2,2,1,8
885,1,1,1,1,1,1,6
903,1,1,1,2,2,2,9
932,2,2,2,2,2,2,12
972,1,2,1,2,1,2,9
986,1,2,1,1,1,2,8
996,1,1,1,2,2,2,9
998,1,2,2,2,2,2,11
1020,1,2,2,2,2,2,11
1051,2,2,2,2,2,1,11
1087,1,1,2,1,1,1,7
1089,1,2,2,2,2,2,11
1105,1,2,1,2,2,1,9
1111,1,2,2,2,1,2,10
1113,1,2,2,2,2,2,11
1138,2,2,2,2,1,1,10
1144,2,2,2,2,2,2,12
1179,2,2,2,2,2,2,12
1195,1,2,2,2,2,2,11
1236,1,2,2,2,1,2,10
1266,2,2,2,2,2,2,12
1270,1,1,2,1,2,2,9
1327,1,2,1,2,2,1,9
1333,2,1,1,1,2,1,8
1344,1,2,1,2,1,1,8
1378,1,2,2,2,2,2,11
1394,1,2,2,2,2,1,10
1406,1,2,1,2,1,1,8
1420,2,1,2,2,1,2,10
1441,1,2,2,2,1,1,9
1446,1,1,1,2,1,1,7
1452,1,2,2,2,1,1,9
1468,2,2,2,2,2,2,12
1478,2,2,2,2,2,2,12
1528,1,2,1,1,2,1,8
1535,1,1,1,2,1,2,8
48,2,2,1,1,2,2,10
49,1,2,2,2,1,2,10
103,1,2,1,2,2,2,10
167,2,2,2,2,2,2,12
196,1,2,2,2,2,2,11
206,1,2,2,2,1,1,9
244,2,2,2,2,2,2,12
292,2,2,2,2,2,1,11
359,2,2,2,2,2,2,12
378,1,1,2,2,2,1,9
380,1,1,1,2,2,2,9
492,2,2,2,2,2,2,12
499,2,2,2,2,2,1,11
518,1,2,2,2,2,2,11
519,2,2,2,2,2,2,12
598,1,2,2,2,1,2,10
614,1,1,2,1,2,2,9
642,2,2,2,2,2,2,12
749,1,2,2,2,2,1,10
765,2,2,2,2,2,1,11
815,1,2,2,2,1,2,10
902,2,2,2,2,2,2,12
960,2,2,2,2,2,2,12
961,2,1,2,2,2,2,11
982,1,2,2,2,2,1,10
1052,2,2,1,2,2,2,11
1122,1,1,1,1,1,1,6
1128,2,2,2,2,2,2,12
1157,1,1,1,1,1,1,6
1163,1,2,2,2,2,2,11
1175,2,2,2,2,2,2,12
1186,2,2,2,2,2,2,12
1223,1,2,1,2,1,1,8
1228,1,2,1,2,1,2,9
1239,2,2,2,2,2,2,12
1322,2,2,2,2,2,1,11
1338,1,1,1,2,1,1,7
1341,2,2,2,2,2,2,12
1371,1,2,1,1,1,1,7
1383,1,2,2,2,1,2,10
1407,2,2,2,2,2,2,12
1429,1,1,1,2,1,2,8
1476,1,2,2,2,2,2,11
1493,1,2,2,1,2,2,10
1499,1,2,2,2,1,2,10
1508,1,2,1,2,1,2,9
1536,2,2,2,2,2,2,12
293,2,2,2,2,2,2,12
323,2,2,2,2,2,2,12
580,1,2,2,2,1,1,9
1010,1,2,2,2,1,1,9
1085,1,2,2,2,1,1,9
1280,2,2,2,2,2,2,12
1303,2,2,2,2,1,1,10
1474,1,2,2,2,1,2,10
56,1,1,1,2,1,1,7
695,1,1,2,2,1,1,8
988,2,2,2,1,2,2,11
1124,2,2,2,2,2,1,11
1350,1,2,1,2,1,1,8
1450,2,2,2,2,2,2,12
1511,1,2,2,2,2,1,10
91,1,1,2,1,2,1,8
101,2,2,2,1,2,1,10
130,2,2,2,2,1,2,11
186,1,2,2,2,2,2,11
393,2,2,2,2,2,2,12
407,2,1,1,1,2,1,8
428,1,2,2,2,1,1,9
543,1,2,1,2,2,2,10
561,1,2,2,2,2,2,11
605,2,2,2,1,2,2,11
630,1,2,2,2,2,2,11
686,2,2,1,2,2,1,10
713,2,2,2,2,2,2,12
730,1,2,2,2,2,1,10
839,1,2,1,2,1,1,8
949,1,2,1,2,2,2,10
1082,2,1,2,1,2,2,10
1094,1,2,1,1,1,1,7
1102,1,2,2,1,2,2,10
1275,2,1,2,1,1,1,8
1445,1,2,2,2,2,2,11
71,2,2,2,2,2,2,12
107,1,2,2,1,2,2,10
155,2,2,2,2,2,2,12
283,2,2,2,2,2,2,12
300,2,2,2,1,1,1,9
511,2,2,2,2,2,1,11
516,1,2,1,2,2,2,10
655,2,2,2,2,2,1,11
699,1,2,2,2,1,2,10
929,2,2,1,2,2,2,11
954,1,2,2,2,2,2,11
1148,2,2,2,2,2,2,12
1153,2,2,2,2,2,2,12
1169,2,2,2,2,2,1,11
1222,1,1,2,2,1,2,9
1283,2,2,2,2,1,2,11
1348,1,2,1,2,2,1,9
1504,1,1,2,2,1,1,8
1526,1,2,2,2,1,2,10
134,1,2,2,2,2,2,11
440,1,2,2,2,2,2,11
785,1,2,2,2,2,2,11
1214,1,2,2,2,2,1,10
1086,2,2,2,2,2,1,11
976,1,2,1,2,1,1,8
1288,2,1,1,1,1,1,7
119,1,2,2,2,1,1,9
132,1,1,1,2,2,1,8
430,2,1,1,1,1,1,7
772,2,1,1,2,2,2,10
957,2,2,2,2,2,2,12
1190,1,2,1,2,2,2,10
1205,2,1,1,1,1,1,7
171,1,1,1,2,1,1,7
208,2,2,2,2,2,2,12
473,1,2,2,1,1,2,9
570,1,2,2,1,2,2,10
690,1,2,2,2,1,1,9
1197,2,2,1,1,2,2,10
1332,1,2,2,2,2,2,11
1356,2,1,2,1,2,1,9
245,1,2,2,2,2,2,11
324,1,2,2,1,1,2,9
488,1,1,2,2,2,2,10
705,2,2,2,2,2,1,11
1088,1,2,1,2,1,2,9
1312,1,1,1,1,2,1,7
1325,1,2,1,2,2,1,9
719,1,2,2,2,1,1,9
798,2,1,2,1,2,1,9
933,1,1,1,1,1,1,6
1480,2,2,2,2,2,2,12
1232,2,2,1,2,2,2,11
738,1,2,2,1,1,2,9
1294,2,1,2,2,2,2,11
481,1,1,2,1,1,2,8
637,1,2,2,2,1,1,9
607,2,2,2,2,2,2,12
1428,1,1,2,1,1,2,8
1023,1,2,2,2,2,1,10
376,2,2,2,2,2,1,11
457,1,2,1,1,2,2,9
472,1,2,2,2,1,2,10
338,2,2,1,2,2,1,10
387,1,2,2,2,2,2,11
887,1,1,1,1,1,1,6
1213,2,2,1,2,2,2,11
1414,2,2,2,2,2,1,11
66,1,2,2,2,2,2,11
38,2,2,1,2,2,2,11
43,1,1,1,1,1,1,6
734,2,2,2,2,2,2,12
909,2,2,2,1,2,2,11
525,2,2,2,2,2,2,12
1248,2,2,2,2,2,2,12
832,1,2,2,2,1,1,9
