CaseID,TVchildBR,compchildBR,tabletchildBR,cellchildBR,gamechildBR,mp3childBR,count
401,2,2,2,2,2,2,12
451,2,1,2,1,2,2,10
455,2,1,1,2,2,1,9
476,1,2,2,1,1,1,8
478,2,2,1,2,2,1,10
493,1,2,2,2,2,2,11
545,2,1,1,2,2,2,10
564,2,2,2,1,2,1,10
583,2,2,1,1,2,1,9
585,1,2,2,2,2,2,11
602,1,1,1,2,1,1,7
649,1,1,1,1,1,1,6
651,1,2,2,1,2,2,10
708,2,2,2,1,1,1,9
720,1,2,2,2,2,2,11
724,1,2,2,2,2,2,11
725,1,2,2,2,2,2,11
773,1,2,1,1,2,2,9
803,2,2,2,2,2,1,11
822,1,2,1,2,1,2,9
834,1,2,1,1,1,1,7
838,1,1,1,1,1,1,6
863,2,2,2,2,2,2,12
864,2,2,1,2,2,2,11
882,2,2,2,2,2,1,11
886,2,2,2,2,2,2,12
893,1,2,2,2,2,2,11
895,1,2,2,1,2,2,10
917,1,2,2,2,2,2,11
919,2,2,1,2,2,1,10
920,2,1,1,2,2,2,10
923,2,2,1,2,2,2,11
930,2,2,2,2,2,2,12
940,1,2,2,1,1,2,9
945,2,1,1,2,2,2,10
953,1,2,2,1,2,1,9
955,2,2,1,2,2,2,11
963,1,1,2,1,2,2,9
994,2,2,2,2,2,2,12
1015,1,2,2,2,2,2,11
1039,2,1,1,1,2,1,8
1058,1,1,2,2,2,2,10
1067,1,2,2,2,1,1,9
1077,1,2,2,2,2,2,11
1090,2,2,1,2,2,1,10
1099,1,2,2,2,1,2,10
1117,2,2,1,2,1,1,9
1131,2,1,2,2,2,1,10
1136,2,2,1,2,2,2,11
1160,1,2,2,1,1,2,9
1210,2,2,2,1,2,1,10
1225,2,1,2,2,2,1,10
1240,1,2,1,2,1,1,8
1254,2,2,2,2,2,2,12
1276,1,1,2,1,1,1,7
1277,1,2,2,2,1,2,10
1296,1,2,2,2,2,2,11
1305,2,2,2,2,2,2,12
1315,1,2,2,2,1,2,10
1328,1,2,2,2,2,1,10
1329,2,2,2,1,2,2,11
1335,2,2,2,2,2,2,12
1339,1,2,1,2,2,2,10
1349,2,2,1,2,2,1,10
1358,1,1,2,2,1,2,9
1377,2,2,1,2,2,2,11
1401,2,2,2,1,2,1,10
1418,2,2,2,2,2,2,12
1453,1,1,1,2,1,1,7
1457,1,2,2,2,1,2,10
1460,2,2,2,1,2,2,11
1471,1,2,2,2,2,2,11
1510,1,1,2,1,2,2,9
1522,2,1,1,1,2,1,8
1524,1,1,1,1,1,1,6
1530,1,1,1,1,2,2,8
2,2,2,2,2,2,2,12
5,2,2,2,2,2,2,12
21,2,2,1,2,2,2,11
83,1,2,2,2,1,1,9
88,2,2,2,2,2,2,12
100,1,2,1,2,1,1,8
129,2,2,2,2,2,2,12
154,2,2,2,2,2,2,12
159,1,2,1,2,2,2,10
178,2,2,2,2,2,2,12
194,1,2,1,2,1,1,8
232,1,2,2,2,2,1,10
241,2,2,2,2,2,2,12
242,2,2,1,2,1,1,9
257,1,2,2,2,1,2,10
268,2,2,2,2,2,1,11
294,2,2,2,2,2,2,12
303,2,1,1,2,1,1,8
306,2,2,2,2,2,2,12
307,2,2,2,2,2,2,12
320,1,2,2,2,2,2,11
329,1,2,1,1,1,1,7
